id,group,group_label,kanji,reading,indonesian,romaji,section
27,1,01–50,一,いち,Satu,ichi,KANJI
28,1,01–50,二,に,Dua,ni,KANJI
29,1,01–50,三,さん,Tiga,san,KANJI
30,1,01–50,四,よん、し,Empat,"yon, shi",KANJI
31,1,01–50,五,ご,Lima,go,KANJI
32,1,01–50,六,ろく,Enam,roku,KANJI
33,1,01–50,七,なな、しち,Tujuh,"nana, shichi",KANJI
34,1,01–50,八,はち,Delapan,hachi,KANJI
35,1,01–50,九,きゅう,Sembilan,kyuu,KANJI
36,1,01–50,十,じゅう,Sepuluh,jiyuu,KANJI
37,1,01–50,～年,～ねん,~ tahun,~nen,KANJI
38,1,01–50,～月,～がつ,~ bulan,~gatsu,KANJI
39,1,01–50,～日,～にち,~ tanggal,~nichi,KANJI
40,1,01–50,東,ひがし,Timur,higashi,KANJI
41,1,01–50,西,にし,Barat,nishi,KANJI
42,1,01–50,南,みなみ,Selatan,minami,KANJI
43,1,01–50,北,きた,Utara,kita,KANJI
44,1,01–50,～口,～ぐち,~ pintu,~guchi,KANJI
45,1,01–50,東口,ひがしぐち,Pintu timur,higashiguchi,KANJI
46,1,01–50,西口,にしぐち,Pintu barat,nishiguchi,KANJI
47,1,01–50,南口,みなみぐち,Pintu selatan,minamiguchi,KANJI
48,1,01–50,北口,きたぐち,Pintu utara,kitaguchi,KANJI
49,1,01–50,買います,かいます,Membeli,kaimasu,KANJI
50,1,01–50,買い物,かいもの,Belanja,kaiもno,KANJI
51,2,51–100,お金,おかね,Uang,okane,KANJI
52,2,51–100,～円,～えん,~ yen,~en,KANJI
53,2,51–100,百,ひゃく,100,hyaku,KANJI
54,2,51–100,千,せん,1000,sen,KANJI
55,2,51–100,万,まん,10000,man,KANJI
56,2,51–100,百円,ひゃくえん,100 yen,hyakuen,KANJI
57,2,51–100,千円,せんえん,1000 yen,senen,KANJI
58,2,51–100,一万円,いちまんえん,10000 yen,ichimanen,KANJI
59,2,51–100,行きます,いきます,Pergi,ikimasu,KANJI
60,2,51–100,来ます,きます,Datang,kimasu,KANJI
61,2,51–100,会います,あいます,Bertemu,aimasu,KANJI
62,2,51–100,休みます,やすみます,"Libur,istirahat",yasumimasu,KANJI
63,2,51–100,日本,にほん,Jepang,nihon,KANJI
64,2,51–100,東京,とうきょう,Tokyo,toukyou,KANJI
65,2,51–100,私,わたし,Saya,watashi,KANJI
66,2,51–100,父,ちち,Ayah,chichi,KANJI
67,2,51–100,母,はは,Ibu,haha,KANJI
68,2,51–100,子供,こども,Anak,kodoも,KANJI
69,2,51–100,男,おとこ,Laki-laki,otoko,KANJI
70,2,51–100,女,おんな,Perempuan,onna,KANJI
71,2,51–100,人,ひと,Orang,hito,KANJI
72,2,51–100,お父さん,おとうさん,Ayah (orang lain),otousan,KANJI
73,2,51–100,お母さん,おかあさん,Ibu (orang lain),okaasan,KANJI
74,2,51–100,何人,なんにん,Berapa orang?,nannin,KANJI
75,2,51–100,国,くに,Negara,kuni,KANJI
76,2,51–100,外国,がいこく,Luar negri,gaikoku,KANJI
77,2,51–100,～語,～ご,~ Bahasa,~go,KANJI
78,2,51–100,日本語,にほんご,Bahasa jepang,nihongo,KANJI
79,2,51–100,英語,えいご,Bahasa inggris,eigo,KANJI
80,2,51–100,中国語,ちゅうごくご,Bahasa china,chuugokugo,KANJI
81,2,51–100,～人,～じん／～にん,~ orang,~jin/~nin,KANJI
82,2,51–100,日本人,にほんじん,Orang jepang,nihonjin,KANJI
83,2,51–100,好き,すき,Suka,suki,KANJI
84,2,51–100,本,ほん,Buku,hon,KANJI
85,2,51–100,読書,どくしょ,Bacaan,dokusho,KANJI
86,2,51–100,何,なに,Apa?,nani,KANJI
87,2,51–100,春,はる,Musim semi,haru,KANJI
88,2,51–100,夏,なつ,Musim panas,natsu,KANJI
89,2,51–100,秋,あき,Musim gugur,aki,KANJI
90,2,51–100,冬,ふゆ,Musim dingin,fuyu,KANJI
91,2,51–100,今,いま,Sekarang,ima,KANJI
92,2,51–100,花,はな,Bunga,hana,KANJI
93,2,51–100,海,うみ,Laut,umi,KANJI
94,2,51–100,山,やま,Gunung,yama,KANJI
95,2,51–100,川,かわ,Sungai,kawa,KANJI
96,2,51–100,今日,きょう,Hari ini,kyou,KANJI
97,2,51–100,天気,てんき,Cuaca,tenki,KANJI
98,2,51–100,晴れ,はれ,Cerah,hare,KANJI
99,2,51–100,雨,あめ,Hujan,ame,KANJI
100,2,51–100,雪,ゆき,Salju,yuki,KANJI
101,3,101–150,雲,くも,Mendung,kuも,KANJI
102,3,101–150,風,かぜ,Angin,kaze,KANJI
103,3,101–150,空,そら,Langit,sora,KANJI
104,3,101–150,町,まち,Kota,machi,KANJI
105,3,101–150,店,みせ,Toko,mise,KANJI
106,3,101–150,人気,にんき,"Popularitas, ketenaran",ninki,KANJI
107,3,101–150,多い,おおい,Banyak,ooi,KANJI
108,3,101–150,少ない,すくない,Sedikit,sukunai,KANJI
109,3,101–150,高い,たかい,Mahal,takai,KANJI
110,3,101–150,安い,やすい,Murah,yasui,KANJI
111,3,101–150,広い,ひろい,Luas,hiroi,KANJI
112,3,101–150,道,みち,Jalan,michi,KANJI
113,3,101–150,通り,とおり,Jalan,toori,KANJI
114,3,101–150,右,みぎ,Kanan,migi,KANJI
115,3,101–150,左,ひだり,Kiri,hidari,KANJI
116,3,101–150,一つ,ひとつ,Satu buah,hitotsu,KANJI
117,3,101–150,二つ,ふたつ,Dua buah,futatsu,KANJI
118,3,101–150,赤い,あかい,Merah,akai,KANJI
119,3,101–150,青い,あおい,Biru,aoi,KANJI
120,3,101–150,黒い,くろい,Hitam,kuroi,KANJI
121,3,101–150,白い,しろい,Putih,shiroi,KANJI
122,3,101–150,時間,じかん,Waktu,jikan,KANJI
123,3,101–150,場所,ばしょ,Tempat,basho,KANJI
124,3,101–150,駅,えき,Stasiun,eki,KANJI
125,3,101–150,日,ひ,Matahari,hi,KANJI
126,3,101–150,出かけます,でかけます,Meninggalkan rumah,dekakemasu,KANJI
127,3,101–150,待ちます,まちます,Menunggu,machimasu,KANJI
128,3,101–150,止まります,とまります,Berhenti,tomarimasu,KANJI
129,3,101–150,食事,しょくじ,Makan bersama,shokuji,KANJI
130,3,101–150,仕事,しごと,Pekerjaan,shigoto,KANJI
131,3,101–150,前,まえ,Sebelum,mae,KANJI
132,3,101–150,後,あと,Setelah,ato,KANJI
133,3,101–150,朝,あさ,Pagi,asa,KANJI
134,3,101–150,昼,ひる,Siang,hiru,KANJI
135,3,101–150,夜,よる,Malam,yoru,KANJI
136,3,101–150,乗ります,のります,Naik,norimasu,KANJI
137,3,101–150,学校,がっこう,Sekolahan,gakkou,KANJI
138,3,101–150,小学校,しょうがっこう,SD,shougakkou,KANJI
139,3,101–150,中学校,ちゅうがっこう,SMP,chuugakkou,KANJI
140,3,101–150,高校,こうこう,SMA,koukou,KANJI
141,3,101–150,大学,だいがく,Universitas,daigaku,KANJI
142,3,101–150,先生,せんせい,Guru,sensei,KANJI
143,3,101–150,学生,がくせい,"Murid, siswa",gakusei,KANJI
144,3,101–150,～年生,～ねんせい,Kelas ~,~nensei,KANJI
145,3,101–150,勉強,べんきょう,Pelajaran,benkyou,KANJI
146,3,101–150,文化,ぶんか,Kebudayaan,bunka,KANJI
147,3,101–150,音楽,おんがく,Musik,ongaku,KANJI
148,3,101–150,旅行,りょこう,Wisata,ryokou,KANJI
149,3,101–150,留学,りゅうがく,Belajar di luar negri,ryuugaku,KANJI
150,3,101–150,友達,ともだち,Teman,toもdachi,KANJI
151,4,151–200,楽しい,たのしい,Gembira,tanoshii,KANJI
152,4,151–200,週,しゅう,Minggu,shuu,KANJI
153,4,151–200,～回,～かい,~kali,~kai,KANJI
154,4,151–200,食べ物,たべもの,Makanan,tabeもno,KANJI
155,4,151–200,飲物,のみもの,Minuman,nomiもno,KANJI
156,4,151–200,お茶,おちゃ,Teh hijau,ocha,KANJI
157,4,151–200,お酒,おさけ,Sake,osake,KANJI
158,4,151–200,作ります,つくります,Membuat,tsukurimasu,KANJI
159,4,151–200,持っていきます,もっていきます,Membawa pergi,もtteikimasu,KANJI
160,4,151–200,お願いします,おねがいします,Tolong,onegaishimasu,KANJI
161,4,151–200,料理,りょうり,Masakan,ryouri,KANJI
162,4,151–200,味,あじ,Rasa,aji,KANJI
163,4,151–200,色,いろ,Warna,iro,KANJI
164,4,151–200,野菜,やさい,Sayuran,yasai,KANJI
165,4,151–200,少し,すこし,Sedikit,sukoshi,KANJI
166,4,151–200,中,なか,Dalam,naka,KANJI
167,4,151–200,入っています,はいっています,Masuk,haitteimasu,KANJI
168,4,151–200,会社,かいしゃ,Perusahaan,kaisha,KANJI
169,4,151–200,本社,ほんしゃ,Kantor pusat,honsha,KANJI
170,4,151–200,支社,ししゃ,Kantor cabang,shisha,KANJI
171,4,151–200,出張,しゅっちょう,Dinas luar kota,shucchou,KANJI
172,4,151–200,空港,くうこう,Bandara,kuukou,KANJI
173,4,151–200,出発,しゅっぱつ,Keberangkatan,shuppatsu,KANJI
174,4,151–200,到着,とうちゃく,Kedatangan,touchaku,KANJI
175,4,151–200,午前,ごぜん,AM,gozen,KANJI
176,4,151–200,午後,ごご,PM,gogo,KANJI
177,4,151–200,自分,じぶん,Sendiri,jibun,KANJI
178,4,151–200,電話,でんわ,Telepon,denwa,KANJI
179,4,151–200,電気,でんき,Listrik,denki,KANJI
180,4,151–200,電車,でんしゃ,Kereta,densha,KANJI
181,4,151–200,車,くるま,Mobil,kuruma,KANJI
182,4,151–200,送ります,おくります,Mengirim,okurimasu,KANJI
183,4,151–200,使います,つかいます,Menggunakan,tsukaimasu,KANJI
184,4,151–200,借ります,かります,Meminjam,karimasu,KANJI
185,4,151–200,体,からだ,Badan,karada,KANJI
186,4,151–200,頭,あたま,Kepala,atama,KANJI
187,4,151–200,目,め,Mata,me,KANJI
188,4,151–200,口,くち,Mulut,kuchi,KANJI
189,4,151–200,耳,みみ,Telinga,mimi,KANJI
190,4,151–200,手,て,Tangan,te,KANJI
191,4,151–200,足,あし,Kaki,ashi,KANJI
192,4,151–200,上,うえ,Atas,ue,KANJI
193,4,151–200,下,した,Bawah,shita,KANJI
194,4,151–200,毎～,まい～,~ setiap,mai~,KANJI
195,4,151–200,毎朝,まいあさ,setiap pagi,maiasa,KANJI
196,4,151–200,毎日,まいにち,Setiap hari,mainichi,KANJI
197,4,151–200,週末,しゅうまつ,Akhir pekan,shuumatsu,KANJI
198,4,151–200,元気,げんき,Sehat,genki,KANJI
199,4,151–200,外,そと,Luar,soto,KANJI
200,4,151–200,起きます,おきます,Bangun tidur,okimasu,KANJI
201,5,201–250,歩きます,あるきます,Berjalan,arukimasu,KANJI
202,5,201–250,走ります,はしります,Berlari,hashirimasu,KANJI
203,5,201–250,泳ぎます,およぎます,Berenang,oyogimasu,KANJI
204,5,201–250,お祝い,おいわい,Perayaan,oiwai,KANJI
205,5,201–250,誕生日,たんじょうび,Ulang tahun,tanjoubi,KANJI
206,5,201–250,結婚,けっこん,Pernikahan,kekkon,KANJI
207,5,201–250,絵,え,"Gambar, lukisan",e,KANJI
208,5,201–250,写真,しゃしん,Foto,shashin,KANJI
209,5,201–250,時計,とけい,Jam,tokei,KANJI
210,5,201–250,着ます,きます,Memakai pakaian,kimasu,KANJI
211,5,201–250,先～,せん～,~lalu,sen~,KANJI
212,5,201–250,先週,せんしゅう,Minggu lalu,senshuu,KANJI
213,5,201–250,今月,こんげつ,Bulan ini,kongetsu,KANJI
214,5,201–250,来年,らいねん,Tahun depan,rainen,KANJI
215,5,201–250,今年,ことし,Tahun ini,kotoshi,KANJI
216,5,201–250,去年,きょねん,Tahun lalu,kyonen,KANJI
217,5,201–250,家,いえ,Rumah,ie,KANJI
218,5,201–250,思います,おもいます,Mengira,oもimasu,KANJI
219,5,201–250,自己紹介,じこしょうかい,Perkenalan,jikoshoukai,KANJI
220,5,201–250,名前,なまえ,Nama,namae,KANJI
221,5,201–250,意味,いみ,Arti,imi,KANJI
222,5,201–250,本屋,ほんや,Toko buku,honya,KANJI
223,5,201–250,近く,ちかく,Dekat,chikaku,KANJI
224,5,201–250,住みます,すみます,Tinggal,sumimasu,KANJI
225,5,201–250,働きます,はたらきます,Bekerja,hatarakimasu,KANJI
226,5,201–250,～番目,～ばんめ,Urutan yang ~,~banme,KANJI
227,5,201–250,兄,あに,Kakak laki2 (sendiri),ani,KANJI
228,5,201–250,兄いさん,おにいさん,Kakak laki2 (orang lain),oniisan,KANJI
229,5,201–250,姉,あね,Kakak perempuan (sendiri),ane,KANJI
230,5,201–250,お姉さん,おねえさん,Kakak perempuan (orang lain),oneesan,KANJI
231,5,201–250,弟,おとうと,Adik laki2 (sendiri),otouto,KANJI
232,5,201–250,妹,いもうと,Adik perempuan (sendiri),iもuto,KANJI
233,5,201–250,家族,かぞく,Keluarga,kazoku,KANJI
234,5,201–250,長い,ながい,Panjang,nagai,KANJI
235,5,201–250,短い,みじかい,Pendek,mijikai,KANJI
