id,bab,japanese,furigana,raw_display,romaji,indonesian
584,16,どうぐ,どうぐ,どうぐ,dougu,alat-alat/peralatan
585,16,なおします,なおします,なおします,naoshimasu,memperbaiki
586,16,人ぎょう,にんぎょう,人(にん)ぎょう,ningyou,boneka
587,16,のりかえます,のりかえます,のりかえます,norikaemasu,berganti kendaraan
588,16,のります,のります,のります,norimasu,naik
589,16,バスてい,バスてい,バスてい,basutei,halte bis
590,16,はな,はな,はな,hana,hidung
591,16,ひげ,ひげ,ひげ,hige,kumis/jenggot
592,16,びょう気,びょうき,びょう気(き),byouki,sakit
593,16,ひらきます,ひらきます,ひらきます,hirakimasu,membuka
594,16,ふべん,ふべん,ふべん,fuben,tidak praktis
595,16,べんとう,べんとう,べんとう,bentou,bekal makan (siang)
596,16,ほうこくします,ほうこくします,ほうこくします,houkokushimasu,melapor
597,16,マイク,マイク,マイク,maiku,mic
598,16,みがきます,みがきます,みがきます,migakimasu,menggosok
599,16,道,みち,道(みち),michi,jalan
600,16,目,め,目(め),me,mata
601,16,めがねをかけます,めがねをかけます,めがねをかけます,meganewokakemasu,memakai kacamata
602,16,わたります,わたります,わたります,watarimasu,menyebrang
603,17,あぶない,あぶない,あぶない,abunai,berbahaya
604,17,カード,カード,カード,ka-do,kartu
605,17,かいとうようし,かいとうようし,かいとうようし,kaitouyoushi,lembar jawaban
606,17,火気厳禁,かきげんきん,火気厳禁(かきげんきん),kakigenkin,dilarang keras menyalakan api
607,17,かぶります,かぶります,かぶります,kaburimasu,memakai (topi)
608,17,きっ手,きって,きっ手(て),kitte,perangko
609,17,禁煙,きんえん,禁煙(きんえん),kinen,larangan merokok
610,17,禁止,きんし,禁止(きんし),kinshi,larangan
611,17,こと,こと,こと,koto,hal
612,17,さとう,さとう,さとう,satou,gula
613,17,ざんぎょうします,ざんぎょうします,ざんぎょうします,zangyoushimasu,lembur
614,17,じぶん,じぶん,じぶん,jibun,diri sendiri
615,17,しまいます,しまいます,しまいます,shimaimasu,menyimpan
616,17,しんごう,しんごう,しんごう,shingou,lampu lalu lintas
617,17,しんぱいします,しんぱいします,しんぱいします,shinpaishimasu,khawatir
618,17,スイッチ,スイッチ,スイッチ,suicchi,saklar
619,17,たいせつ,たいせつ,たいせつ,taisetsu,penting
620,17,たいそうします,たいそうします,たいそうします,taisoushimasu,senam
621,17,立入禁止,たちいりきんし,立入禁止(たちいりきんし),tachiirikinshi,dilarang masuk
622,17,立ちます,たちます,立(た)ちます,tachimasu,berdiri
623,17,つくります,つくります,つくります,tsukurimasu,membuat
624,17,電話ばんごう,でんわばんごう,電話(でんわ)ばんごう,denwabangou,nomor telepon
625,17,とまります,とまります,とまります,tomarimasu,berhenti
626,17,なります,なります,なります,narimasu,menjadi
627,17,何でも,なんでも,何(なん)でも,nandemo,apa saja/apa pun
628,17,にっき,にっき,にっき,nikki,buku harian
629,17,ぬぎます,ぬぎます,ぬぎます,nugimasu,menanggalkan
630,17,はしります,はしります,はしります,hashirimasu,lari
631,17,はらいます,はらいます,はらいます,haraimasu,membayar
632,17,ばんごうじゅん,ばんごうじゅん,ばんごうじゅん,bangoujun,urutan nomor
633,17,火,ひ,火(ひ),hi,api
634,17,ベルトコンベヤー,ベルトコンベヤー,ベルトコンベヤー,berutokonbeya-,belt-conveyor/sabuk konveyor
635,17,ヘルメット,ヘルメット,ヘルメット,herumetto,helm
636,17,ペンケース,ペンケース,ペンケース,penke-su,kotak pensil
637,17,ほかの,ほかの,ほかの,hokano,yang lain
638,17,保護帽,ほごぼう,保護帽(ほごぼう),hogobou,pelindung kepala
639,17,ボタン,ボタン,ボタン,botan,tombol
640,17,まもります,まもります,まもります,mamorimasu,mentaati
641,17,見せます,みせます,見(み)せます,misemasu,memperlihatkan
642,17,みぶんしょうめいしょ,みぶんしょうめいしょ,みぶんしょうめいしょ,mibunshoumeisho,Kartu Tanda Pengenal
643,17,よごします,よごします,よごします,yogoshimasu,mengotori/kotor
644,17,れんらくします,れんらくします,れんらくします,renrakushimasu,menghubungi
645,17,わすれます,わすれます,わすれます,wasuremasu,lupa
646,17,わたします,わたします,わたします,watashimasu,menyerahkan
647,18,あいさつします,あいさつします,あいさつします,aisatsushimasu,memberikan salam
648,18,うけます,うけます,うけます,ukemasu,menempuh/mengikuti
649,18,うんどう会,うんどうかい,うんどう会(かい),undoukai,pertandingan olahraga
650,18,およぎます,およぎます,およぎます,oyogimasu,berenang
651,18,ガス,ガス,ガス,gasu,gas
652,18,かならず,かならず,かならず,kanarazu,pasti
653,18,かんがえます,かんがえます,かんがえます,kangaemasu,berpikir
654,18,きこく,きこく,きこく,kikoku,pulang ke tanah air
655,18,ギター,ギター,ギター,gita-,gitar
656,18,しゅっぱつ,しゅっぱつ,しゅっぱつ,shuppatsu,keberangkatan
657,18,しゅみ,しゅみ,しゅみ,shumi,hobi
658,18,せいせき,せいせき,せいせき,seiseki,hasil
659,18,大会,たいかい,大会(たいかい),taikai,turnamen
660,18,ちゃんと,ちゃんと,ちゃんと,chanto,dengan benar/teliti
661,18,つり,つり,つり,tsuri,pancing
662,18,手じゅん,てじゅん,手(て)じゅん,tejun,prosedur/urutan
663,18,できます,できます,できます,dekimasu,dapat/bisa
664,18,点検します,てんけんします,点検(てんけん)します,tenkenshimasu,memeriksa
665,18,ノックします,ノックします,ノックします,nokkushimasu,mengetuk
666,18,ひきます,ひきます,ひきます,hikimasu,bermain alat musik
667,18,ピンポン,ピンポン,ピンポン,pinpon,pingpong
668,18,ぶんかいします,ぶんかいします,ぶんかいします,bunkaishimasu,membongkar
669,18,ボーリング,ボーリング,ボーリング,bo-ringu,bowling
670,18,もえないゴミ,もえないゴミ,もえないゴミ,moenaigomi,sampah tidak dapat di bakar
671,18,もえるゴミ,もえるゴミ,もえるゴミ,moerugomi,sampah dapat dibakar
672,18,もとせん,もとせん,もとせん,motosen,kran utama
673,19,うみ,うみ,うみ,umi,laut
674,19,おとします,おとします,おとします,otoshimasu,menjatuhkan
675,19,おなかがいっぱいです,おなかがいっぱいです,おなかがいっぱいです,onakagaippaidesu,kenyang/perut kenyang
676,19,おばあさん,おばあさん,おばあさん,obaasan,nenek (orang lain)
677,19,かじ,かじ,かじ,kaji,kebakaran
678,19,風,かぜ,風(かぜ),kaze,angin
